date,time,outdoor temperature,indoor temperature 1,indoor temperature 2,indoor temperature 3,indoor temperature 4,indoor temperature 5,indoor temperature 6,setpoint 1,setpoint 2,setpoint 3,setpoint 4,setpoint 5,setpoint 6
1/21/2022,0:10,25.34,65,65,65,65,65,65,0,71,71,0,71,0
1/21/2022,0:10,25.34,65,65,65,65,65,65,120,74,74,120,74,120
1/21/2022,0:16,25.34,62.64370613,69.90158011,69.71687601,62.31631116,69.90473869,63.03270633,0,71,71,0,71,0
1/21/2022,0:16,25.34,62.64370613,69.90158011,69.71687601,62.31631116,69.90473869,63.03270633,120,74,74,120,74,120
1/21/2022,0:21,25.34,61.01581009,70.99999986,70.99999984,60.40642856,70.99999986,61.67846329,0,71,71,0,71,0
1/21/2022,0:21,25.34,61.01581009,70.99999986,70.99999984,60.40642856,70.99999986,61.67846329,120,74,74,120,74,120
1/21/2022,0:26,25.34,60.71991375,70.99999993,70.99999833,60.097057,70.99999993,61.40312339,0,71,71,0,71,0
1/21/2022,0:26,25.34,60.71991375,70.99999993,70.99999833,60.097057,70.99999993,61.40312339,120,74,74,120,74,120
1/21/2022,0:33,25.34,60.66630735,70.99999817,70.99994892,60.04102458,70.9999982,61.34812535,0,71,71,0,71,0
1/21/2022,0:33,25.34,60.66630735,70.99999817,70.99994892,60.04102458,70.9999982,61.34812535,120,74,74,120,74,120
1/21/2022,0:37,25.34,59.79539921,70.99999994,70.99999857,59.03013417,70.99999994,60.58593799,0,71,71,0,71,0
1/21/2022,0:37,25.34,59.79539921,70.99999994,70.99999857,59.03013417,70.99999994,60.58593799,120,74,74,120,74,120
1/21/2022,0:42,25.34,59.20785481,71,70.99999996,58.35856116,71,60.08588255,0,71,71,0,71,0
1/21/2022,0:42,25.34,59.20785481,71,70.99999996,58.35856116,71,60.08588255,120,74,74,120,74,120
1/21/2022,0:45,25.34,58.90060313,71,71,58.01642306,71,59.82373504,0,71,71,0,71,0
1/21/2022,0:45,25.34,58.90060313,71,71,58.01642306,71,59.82373504,120,74,74,120,74,120
1/21/2022,0:50,25.34,58.62404498,71,71,57.72340417,71,59.58575039,0,71,71,0,71,0
1/21/2022,0:50,25.34,58.62404498,71,71,57.72340417,71,59.58575039,120,74,74,120,74,120
1/21/2022,0:55,25.34,58.44854862,71,71,57.54818249,71,59.42487954,0,71,71,0,71,0
1/21/2022,0:55,25.34,58.44854862,71,71,57.54818249,71,59.42487954,120,74,74,120,74,120
1/21/2022,1:00,25.34,58.33188625,71,71,57.43708346,71,59.30913196,0,71,71,0,71,0
1/21/2022,1:00,25.34,58.33188625,71,71,57.43708346,71,59.30913196,120,74,74,120,74,120
1/21/2022,1:05,25.34,58.24909751,71,71,57.35998102,71,59.22207573,0,71,71,0,71,0
1/21/2022,1:05,25.34,58.24909751,71,71,57.35998102,71,59.22207573,120,74,74,120,74,120
1/21/2022,1:10,25.34,58.18712107,71,71,57.30251455,71,59.15507541,0,71,71,0,71,0
1/21/2022,1:10,25.34,58.18712107,71,71,57.30251455,71,59.15507541,120,74,74,120,74,120
1/21/2022,1:15,25.34,58.13926831,71,71,57.25824231,71,59.1028504,0,71,71,0,71,0
1/21/2022,1:15,25.34,58.13926831,71,71,57.25824231,71,59.1028504,120,74,74,120,74,120
1/21/2022,1:20,25.34,58.10145679,71,71,57.22343715,71,59.06150712,0,71,71,0,71,0
1/21/2022,1:20,25.34,58.10145679,71,71,57.22343715,71,59.06150712,120,74,74,120,74,120
1/21/2022,1:25,25.34,58.07075622,71,71,57.19529433,71,59.02803537,0,71,71,0,71,0
1/21/2022,1:25,25.34,58.07075622,71,71,57.19529433,71,59.02803537,120,74,74,120,74,120
1/21/2022,1:30,25.34,58.04530612,71,71,57.1720466,71,59.0003901,0,71,71,0,71,0
1/21/2022,1:30,25.34,58.04530612,71,71,57.1720466,71,59.0003901,120,74,74,120,74,120
1/21/2022,1:35,25.34,58.02377962,71,71,57.15241034,71,58.97713188,0,71,71,0,71,0
1/21/2022,1:35,25.34,58.02377962,71,71,57.15241034,71,58.97713188,120,74,74,120,74,120
1/21/2022,1:40,25.34,58.00512702,71,71,57.13533931,71,58.95718177,0,71,71,0,71,0
1/21/2022,1:40,25.34,58.00512702,71,71,57.13533931,71,58.95718177,120,74,74,120,74,120
1/21/2022,1:45,25.34,57.98876805,71,71,57.12031204,71,58.93986922,0,71,71,0,71,0
1/21/2022,1:45,25.34,57.98876805,71,71,57.12031204,71,58.93986922,120,74,74,120,74,120
1/21/2022,1:50,25.34,57.97428416,71,71,57.10695887,71,58.92470164,0,71,71,0,71,0
1/21/2022,1:50,25.34,57.97428416,71,71,57.10695887,71,58.92470164,120,74,74,120,74,120
1/21/2022,1:55,25.34,57.9612724,71,71,57.09489235,71,58.91124921,0,71,71,0,71,0
1/21/2022,1:55,25.34,57.9612724,71,71,57.09489235,71,58.91124921,120,74,74,120,74,120
1/21/2022,2:00,25.34,57.94953132,71,71,57.08394881,71,58.8992465,0,71,71,0,71,0
1/21/2022,2:00,25.34,57.94953132,71,71,57.08394881,71,58.8992465,120,74,74,120,74,120
1/21/2022,2:05,25.34,57.9388949,71,71,57.07398972,71,58.88848075,0,71,71,0,71,0
1/21/2022,2:05,25.34,57.9388949,71,71,57.07398972,71,58.88848075,120,74,74,120,74,120
1/21/2022,2:10,25.34,57.92915943,71,71,57.0648147,71,58.87873822,0,71,71,0,71,0
1/21/2022,2:10,25.34,57.92915943,71,71,57.0648147,71,58.87873822,120,74,74,120,74,120
1/21/2022,2:15,25.34,57.92023416,71,71,57.05635263,71,58.8698926,0,71,71,0,71,0
1/21/2022,2:15,25.34,57.92023416,71,71,57.05635263,71,58.8698926,120,74,74,120,74,120
1/21/2022,2:20,25.34,57.91203637,71,71,57.04853722,71,58.8618362,0,71,71,0,71,0
1/21/2022,2:20,25.34,57.91203637,71,71,57.04853722,71,58.8618362,120,74,74,120,74,120
1/21/2022,2:25,25.34,57.90444457,71,71,57.04125152,71,58.854447,0,71,71,0,71,0
1/21/2022,2:25,25.34,57.90444457,71,71,57.04125152,71,58.854447,120,74,74,120,74,120
1/21/2022,2:30,25.34,57.89741071,71,71,57.03446226,71,58.8476564,0,71,71,0,71,0
1/21/2022,2:30,25.34,57.89741071,71,71,57.03446226,71,58.8476564,120,74,74,120,74,120
1/21/2022,2:35,25.34,57.89088722,71,71,57.02813347,71,58.84140277,0,71,71,0,71,0
1/21/2022,2:35,25.34,57.89088722,71,71,57.02813347,71,58.84140277,120,74,74,120,74,120
1/21/2022,2:40,25.34,57.88479423,71,71,57.02218817,71,58.83560925,0,71,71,0,71,0
1/21/2022,2:40,25.34,57.88479423,71,71,57.02218817,71,58.83560925,120,74,74,120,74,120
1/21/2022,2:45,25.34,57.87910344,71,71,57.01660771,71,58.83023489,0,71,71,0,71,0
1/21/2022,2:45,25.34,57.87910344,71,71,57.01660771,71,58.83023489,120,74,74,120,74,120
1/21/2022,2:50,25.34,57.87378498,71,71,57.01136975,71,58.82524149,0,71,71,0,71,0
1/21/2022,2:50,25.34,57.87378498,71,71,57.01136975,71,58.82524149,120,74,74,120,74,120
1/21/2022,2:55,25.34,57.86878326,71,71,57.0064202,71,58.82057762,0,71,71,0,71,0
1/21/2022,2:55,25.34,57.86878326,71,71,57.0064202,71,58.82057762,120,74,74,120,74,120
1/21/2022,3:00,25.34,57.86408069,71,71,57.00174789,71,58.81621745,0,71,71,0,71,0
1/21/2022,3:00,25.34,57.86408069,71,71,57.00174789,71,58.81621745,120,74,74,120,74,120
1/21/2022,3:05,25.34,57.85965759,71,71,56.99733809,71,58.81213612,0,71,71,0,71,0
1/21/2022,3:05,25.34,57.85965759,71,71,56.99733809,71,58.81213612,120,74,74,120,74,120
1/21/2022,3:10,25.34,57.85547382,71,71,56.99315126,71,58.80829784,0,71,71,0,71,0
1/21/2022,3:10,25.34,57.85547382,71,71,56.99315126,71,58.80829784,120,74,74,120,74,120
1/21/2022,3:15,25.34,57.85151818,71,71,56.98918045,71,58.80468575,0,71,71,0,71,0
1/21/2022,3:15,25.34,57.85151818,71,71,56.98918045,71,58.80468575,120,74,74,120,74,120
1/21/2022,3:20,25.34,57.84777728,71,71,56.98541555,71,58.80128316,0,71,71,0,71,0
1/21/2022,3:20,25.34,57.84777728,71,71,56.98541555,71,58.80128316,120,74,74,120,74,120
1/21/2022,3:25,25.34,57.84422134,71,71,56.98182673,71,58.79806437,0,71,71,0,71,0
1/21/2022,3:25,25.34,57.84422134,71,71,56.98182673,71,58.79806437,120,74,74,120,74,120
1/21/2022,3:30,25.34,57.84084311,71,71,56.97840964,71,58.79501814,0,71,71,0,71,0
1/21/2022,3:30,25.34,57.84084311,71,71,56.97840964,71,58.79501814,120,74,74,120,74,120
1/21/2022,3:35,25.34,57.83763331,71,71,56.9751571,71,58.79213299,0,71,71,0,71,0
1/21/2022,3:35,25.34,57.83763331,71,71,56.9751571,71,58.79213299,120,74,74,120,74,120
1/21/2022,3:40,25.34,57.83456928,71,71,56.97204607,71,58.78938999,0,71,71,0,71,0
1/21/2022,3:40,25.34,57.83456928,71,71,56.97204607,71,58.78938999,120,74,74,120,74,120
1/21/2022,3:45,25.34,57.83164635,71,71,56.96907381,71,58.78678152,0,71,71,0,71,0
1/21/2022,3:45,25.34,57.83164635,71,71,56.96907381,71,58.78678152,120,74,74,120,74,120
1/21/2022,3:50,25.34,57.82885794,71,71,56.96623516,71,58.78429951,0,71,71,0,71,0
1/21/2022,3:50,25.34,57.82885794,71,71,56.96623516,71,58.78429951,120,74,74,120,74,120
